,Id,LotFrontage,LotArea,Street,Alley,LotShape,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,GrLivArea,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageYrBlt,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,PoolArea,PoolQC,MiscVal,YrSold,SimplOverallQual,SimplOverallCond,SimplPoolQC,SimplGarageCond,SimplGarageQual,SimplFireplaceQu,SimplFunctional,SimplKitchenQual,SimplHeatingQC,SimplBsmtFinType1,SimplBsmtFinType2,SimplBsmtCond,SimplBsmtQual,SimplExterCond,SimplExterQual,OverallGrade,GarageGrade,ExterGrade,KitchenScore,FireplaceScore,GarageScore,PoolScore,SimplOverallGrade,SimplExterGrade,SimplPoolScore,SimplGarageScore,SimplFireplaceScore,SimplKitchenScore,TotalBath,AllSF,AllFlrsSF,AllPorchSF,HasMasVnr,BoughtOffPlan,OverallQual-s2,OverallQual-s3,OverallQual-Sq,AllSF-2,AllSF-3,AllSF-Sq,AllFlrsSF-2,AllFlrsSF-3,AllFlrsSF-Sq,GrLivArea-2,GrLivArea-3,GrLivArea-Sq,SimplOverallQual-s2,SimplOverallQual-s3,SimplOverallQual-Sq,ExterQual-2,ExterQual-3,ExterQual-Sq,GarageCars-2,GarageCars-3,GarageCars-Sq,TotalBath-2,TotalBath-3,TotalBath-Sq,KitchenQual-2,KitchenQual-3,KitchenQual-Sq,GarageScore-2,GarageScore-3,GarageScore-Sq,TotBsmtFin,TotBath,TotArea,HasFirePlace,HasWoodDeck ,enc_street,MSSubClass_SC120,MSSubClass_SC150,MSSubClass_SC160,MSSubClass_SC180,MSSubClass_SC190,MSSubClass_SC20,MSSubClass_SC30,MSSubClass_SC40,MSSubClass_SC45,MSSubClass_SC50,MSSubClass_SC60,MSSubClass_SC70,MSSubClass_SC75,MSSubClass_SC80,MSSubClass_SC85,MSSubClass_SC90,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition1_Artery,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Flat,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,RoofMatl_CompShg,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_Roll,RoofMatl_Tar&Grv,RoofMatl_WdShake,RoofMatl_WdShngl,Exterior1st_AsbShng,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsbShng,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,CentralAir_N,CentralAir_Y,Electrical_FuseA,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageFinish_Fin,GarageFinish_RFn,GarageFinish_Unf,Fence_GdPrv,Fence_GdWo,Fence_MnPrv,Fence_MnWw,MiscFeature_Gar2,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC,MoSold_Apr,MoSold_Aug,MoSold_Dec,MoSold_Feb,MoSold_Jan,MoSold_Jul,MoSold_Jun,MoSold_Mar,MoSold_May,MoSold_Nov,MoSold_Oct,MoSold_Sep,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,SalePrice
0,1,65.0,9.042040056544483,2,1.0,4,3,7,5,2003,2003,196.0,4,3,4.0,3.0,0.0,1.0,150.0,856.0,5,856,1710,1,4.0,8,8.0,0,4.0,2003.0,2.0,548.0,3.0,3.0,2,0,61,0,0,0,3.0,0,2008,3,2,2.0,1.0,1.0,2.0,4.0,2.0,2,2.0,1.0,1.0,2.0,1,2,35,9.0,12,4.0,4.0,1644.0,912.0,6,2,648.0,548.0,2.0,2.0,3.5,2566.0,1710,61,1.0,0,49,343,2.6457513110645907,6584356.0,16895457496.0,50.65570056765576,2924100,5000211000,41.352146256270665,2924100,5000211000,41.352146256270665,9,27,1.7320508075688772,16,64,2.0,4.0,8.0,1.4142135623730951,12.25,42.875,1.8708286933869707,16.0,64.0,2.0,2702736.0,4443297984.0,40.54626986542659,706.0,3.5,2566.0,False,False,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2.5838238857585236
1,2,80.0,9.169622538697624,2,1.0,4,3,6,8,1976,1976,0.0,3,3,4.0,3.0,3.0,1.0,284.0,1262.0,5,1262,1262,1,3.0,6,8.0,1,3.0,1976.0,2.0,460.0,3.0,3.0,2,298,0,0,0,0,3.0,0,2007,2,3,2.0,1.0,1.0,1.0,4.0,1.0,2,2.0,1.0,1.0,2.0,1,1,48,9.0,9,3.0,3.0,1380.0,912.0,6,1,648.0,460.0,1.0,1.0,2.5,2524.0,1262,0,0.0,0,36,216,2.449489742783178,6370576.0,16079333824.0,50.23942674832188,1592644,2009916728,35.52463933666322,1592644,2009916728,35.52463933666322,4,8,1.4142135623730951,9,27,1.7320508075688772,4.0,8.0,1.4142135623730951,6.25,15.625,1.5811388300841898,9.0,27.0,1.7320508075688772,1904400.0,2628072000.0,37.14835124201342,978.0,2.5,2524.0,True,True,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2.573300271491622
2,3,68.0,9.328212292571072,2,1.0,3,3,7,5,2001,2002,162.0,4,3,4.0,3.0,1.0,1.0,434.0,920.0,5,920,1786,1,4.0,6,8.0,1,3.0,2001.0,2.0,608.0,3.0,3.0,2,0,42,0,0,0,3.0,0,2008,3,2,2.0,1.0,1.0,1.0,4.0,2.0,2,2.0,1.0,1.0,2.0,1,2,35,9.0,12,4.0,3.0,1824.0,912.0,6,2,648.0,608.0,1.0,2.0,3.5,2706.0,1786,42,1.0,0,49,343,2.6457513110645907,7322436.0,19814511816.0,52.01922721455981,3189796,5696975656,42.261093218230876,3189796,5696975656,42.261093218230876,9,27,1.7320508075688772,16,64,2.0,4.0,8.0,1.4142135623730951,12.25,42.875,1.8708286933869707,16.0,64.0,2.0,3326976.0,6068404224.0,42.708313008125245,486.0,3.5,2706.0,True,False,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2.5890542677300896
3,4,60.0,9.164401140034737,2,1.0,3,3,7,5,1915,1970,0.0,3,3,3.0,4.0,0.0,1.0,540.0,756.0,4,961,1717,1,4.0,7,8.0,1,4.0,1998.0,3.0,642.0,3.0,3.0,2,0,35,272,0,0,3.0,0,2006,3,2,2.0,1.0,1.0,2.0,4.0,2.0,2,2.0,1.0,2.0,1.0,1,1,35,9.0,9,4.0,4.0,1926.0,912.0,6,1,648.0,642.0,2.0,2.0,2.0,2473.0,1717,307,0.0,0,49,343,2.6457513110645907,6115729.0,15124197817.0,49.72926703662542,2948089,5061868813,41.43669871020132,2948089,5061868813,41.43669871020132,9,27,1.7320508075688772,9,27,1.7320508075688772,9.0,27.0,1.7320508075688772,4.0,8.0,1.4142135623730951,16.0,64.0,2.0,3709476.0,7144450776.0,43.88621651498338,216.0,2.0,2473.0,True,False,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.5532974946595286
4,5,84.0,9.565283817736766,2,1.0,3,3,8,5,2000,2000,350.0,4,3,4.0,3.0,2.0,1.0,490.0,1145.0,5,1145,2198,1,4.0,9,8.0,1,3.0,2000.0,3.0,836.0,3.0,3.0,2,192,84,0,0,0,3.0,0,2008,3,2,2.0,1.0,1.0,1.0,4.0,2.0,2,2.0,1.0,1.0,2.0,1,2,40,9.0,12,4.0,3.0,2508.0,912.0,6,2,648.0,836.0,1.0,2.0,3.5,3343.0,2198,84,1.0,0,64,512,2.8284271247461903,11175649.0,37360194607.0,57.81868210189506,4831204,10618986392,46.88283267892417,4831204,10618986392,46.88283267892417,9,27,1.7320508075688772,16,64,2.0,9.0,27.0,1.7320508075688772,12.25,42.875,1.8708286933869707,16.0,64.0,2.0,6290064.0,15775480512.0,50.07993610219566,655.0,3.5,3343.0,True,True,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2.597432944578047
5,6,85.0,9.55506418479516,2,1.0,3,3,5,5,1993,1995,0.0,3,3,4.0,3.0,0.0,1.0,64.0,796.0,5,796,1362,1,3.0,5,8.0,0,4.0,1993.0,2.0,480.0,3.0,3.0,2,40,30,0,0,0,3.0,700,2009,2,2,2.0,1.0,1.0,2.0,4.0,1.0,2,2.0,1.0,1.0,2.0,1,1,25,9.0,9,3.0,4.0,1440.0,912.0,4,1,648.0,480.0,2.0,1.0,2.5,2158.0,1362,350,0.0,0,25,125,2.23606797749979,4656964.0,10049728312.0,46.45427859734774,1855044,2526569928,36.90528417449187,1855044,2526569928,36.90528417449187,4,8,1.4142135623730951,9,27,1.7320508075688772,4.0,8.0,1.4142135623730951,6.25,15.625,1.5811388300841898,9.0,27.0,1.7320508075688772,2073600.0,2985984000.0,37.94733192202055,732.0,2.5,2158.0,False,True,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2.5549461768462165
6,7,75.0,9.218804450388312,2,1.0,4,3,8,5,2004,2005,186.0,4,3,5.0,3.0,2.0,1.0,317.0,1686.0,5,1694,1694,1,4.0,7,8.0,1,4.0,2004.0,2.0,636.0,3.0,3.0,2,255,57,0,0,0,3.0,0,2007,3,2,2.0,1.0,1.0,2.0,4.0,2.0,2,2.0,1.0,1.0,2.0,1,2,40,9.0,12,4.0,4.0,1908.0,912.0,6,2,648.0,636.0,2.0,2.0,3.0,3380.0,1694,57,1.0,0,64,512,2.8284271247461903,11424400.0,38614472000.0,58.137767414994535,2869636,4861163384,41.15823125451335,2869636,4861163384,41.15823125451335,9,27,1.7320508075688772,16,64,2.0,4.0,8.0,1.4142135623730951,9.0,27.0,1.7320508075688772,16.0,64.0,2.0,3640464.0,6946005312.0,43.68065933568311,1369.0,3.0,3380.0,True,True,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2.6126111404785974
7,8,68.95370370370371,9.247925132303454,2,1.0,3,3,7,6,1973,1973,240.0,3,3,4.0,3.0,1.0,4.0,216.0,1107.0,5,1107,2090,1,3.0,7,8.0,2,3.0,1973.0,2.0,484.0,3.0,3.0,2,235,204,228,0,0,3.0,350,2009,3,2,2.0,1.0,1.0,1.0,4.0,1.0,2,2.0,2.0,1.0,2.0,1,1,42,9.0,9,3.0,6.0,1452.0,912.0,6,1,648.0,484.0,2.0,1.0,3.5,3197.0,2090,432,1.0,0,49,343,2.6457513110645907,10220809.0,32675926373.0,56.542019772908716,4368100,9129329000,45.71651780264984,4368100,9129329000,45.71651780264984,9,27,1.7320508075688772,9,27,1.7320508075688772,4.0,8.0,1.4142135623730951,12.25,42.875,1.8708286933869707,9.0,27.0,1.7320508075688772,2108304.0,3061257408.0,38.1051177665153,891.0,3.5,3197.0,True,True,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2.5806771513187536
8,9,51.0,8.71948076085107,2,1.0,4,3,7,5,1931,1950,0.0,3,3,3.0,3.0,0.0,1.0,952.0,952.0,4,1022,1774,2,3.0,8,7.0,2,3.0,1931.0,2.0,468.0,2.0,3.0,2,90,0,205,0,0,3.0,0,2008,3,2,2.0,1.0,1.0,1.0,3.0,1.0,2,1.0,1.0,1.0,1.0,1,1,35,6.0,9,6.0,6.0,936.0,912.0,6,1,648.0,468.0,2.0,2.0,2.0,2726.0,1774,205,0.0,0,49,343,2.6457513110645907,7431076.0,20257113176.0,52.21110992882645,3147076,5582912824,42.118879377305376,3147076,5582912824,42.118879377305376,9,27,1.7320508075688772,9,27,1.7320508075688772,4.0,8.0,1.4142135623730951,4.0,8.0,1.4142135623730951,9.0,27.0,1.7320508075688772,876096.0,820025856.0,30.59411708155671,0.0,2.0,2726.0,True,True,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.547453180483902
9,10,50.0,8.912069097970134,2,1.0,4,3,5,6,1939,1950,0.0,3,3,3.0,3.0,0.0,1.0,140.0,991.0,5,1077,1077,2,3.0,5,8.0,2,3.0,1939.0,1.0,205.0,4.0,3.0,2,0,4,0,0,0,3.0,0,2008,2,2,2.0,1.0,2.0,1.0,4.0,1.0,2,2.0,1.0,1.0,1.0,1,1,30,12.0,9,6.0,6.0,820.0,912.0,4,1,648.0,410.0,2.0,2.0,2.0,2068.0,1077,4,0.0,0,25,125,2.23606797749979,4276624.0,8844058432.0,45.47526800360829,1159929,1249243533,32.817678162843876,1159929,1249243533,32.817678162843876,4,8,1.4142135623730951,9,27,1.7320508075688772,1.0,1.0,1.0,4.0,8.0,1.4142135623730951,9.0,27.0,1.7320508075688772,672400.0,551368000.0,28.635642126552707,851.0,2.0,2068.0,True,False,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2.5399035738549975
